ArtistKey,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,mode,count
4814,Common,0.142283051,0.696576271,251565.2881,0.642288136,0.001235213,0.303288136,-8.334457627,0.259608475,95.59633898,0.552220339,49.72881356,0,59
4815,Common Kings,0.21148,0.6304,185901.4,0.6896,0,0.1956,-8.7306,0.1065,80.3686,0.6614,55.4,1,10
4816,Common Market,0.524,0.768,328229,0.674,0,0.109,-7.747,0.324,179.82,0.71,42,0,2
4817,Common Rider,0.03045,0.675,134886.5,0.5555,0,0.12615,-5.8985,0.0795,136.795,0.714,42,1,4
4818,Commonwealth Jones,0.12035,0.54,192400,0.884,0.02067,0.0752,-4.5635,0.0426,103.528,0.7235,3.5,1,4
4819,Company,0.555,0.535666667,277026.6667,0.666666667,0,0.426333333,-9.691333333,0.242,132.3333333,0.655666667,22.66666667,1,6
4820,Company B,0.0393,0.744,326467,0.765,0.707,0.258,-12.174,0.0344,119.743,0.831,43,1,2
4821,Company Chorus,0.816,0.475,143200,0.541,0,0.31,-9.187,0.0714,144.175,0.518,6,1,2
4822,Company Ensemble,0.799833333,0.4335,308637.6667,0.446833333,2.37E-07,0.350433333,-12.1475,0.10975,110.9543333,0.4905,23.16666667,1,6
4823,Compay Quinto,0.824,0.731,167760,0.603,0.00594,0.0681,-7.847,0.043,132.86,0.963,35,0,2
4824,Compay Segundo,0.3275,0.628,286626.5,0.5595,0.000391705,0.2045,-7.0625,0.03445,107.744,0.61,53.5,1,4
4825,Compost,0.496,0.459,293067,0.409,0.00339,0.103,-13.189,0.0362,81.513,0.282,30,1,2
4826,Compound Red,0.0161,0.402,149092,0.589,4.46E-06,0.111,-9.34,0.0614,137.979,0.569,40,1,2
4827,Compton's Most Wanted,0.09593625,0.76875,258333.5,0.516125,0.00499836,0.1763875,-12.229625,0.22575,101.35275,0.585375,40.375,1,16
4828,Comus,0.57,0.418,274333,0.592,2.30E-05,0.223,-7.045,0.043,141.973,0.457,25,0,2
4829,Con Funk Shun,0.3527,0.747571429,290593.3571,0.468571429,0.03238917,0.126121429,-13.3835,0.046178571,120.6395714,0.709714286,30.21428571,1,28
4830,Conan Gray,0.3140825,0.570625,199194.1875,0.591375,5.40E-06,0.14340625,-6.806125,0.0765375,119.4275625,0.4666875,69.625,1,32
4831,Concentus Hungaricus,0.981333333,0.270666667,415111,0.032733333,0.936333333,0.120466667,-28.00933333,0.0388,111.739,0.071733333,40.66666667,1,3
4832,Concentus Musicus Wien,0.977,0.394,111440,0.35,0.0121,0.228,-18.33,0.0326,76.675,0.266,30,0,1
4833,Concept Neuf,0.05,0.802,260880,0.649,0.769,0.113,-12.795,0.0462,118.984,0.822,37,0,2
4834,Concert Hall Orchestra,0.981,0.585666667,295049,0.342,0.386266667,0.58,-14.926,0.349966667,110.1333333,0.631333333,1.333333333,1,3
4835,Concert Hall Symphony Orchestra,0.987666667,0.266,516466.6667,0.211666667,0.563666667,0.175333333,-18.35166667,0.067633333,68.84133333,0.138533333,1,1,3
4836,Concertgebouw Chamber Orchestra,0.963,0.761,195667,0.131,0.836,0.096,-18.133,0.0494,109.944,0.503,38,1,1
4837,Concertgebouworkest,0.94836875,0.26819875,306747.1938,0.179997625,0.647271087,0.17696,-20.12925,0.045316875,102.866375,0.19068375,1.16875,1,160
4838,Concerto Köln,0.839,0.386,251200,0.0738,0.947,0.155,-19.369,0.0433,142.499,0.172,60,1,1
4839,Concrete Blonde,0.09447,0.45,290946.625,0.836,0.009513346,0.222175,-5.599875,0.0566125,130.251,0.388,38.5,1,16
4840,Confederate Railroad,0.132954545,0.644545455,202586.7273,0.674090909,0.000205777,0.167990909,-8.384181818,0.032154545,117.7431818,0.713636364,42,1,22
4841,Conflict,0.075564,0.3242,140696.2,0.9684,0.28248736,0.3442,-6.2446,0.20928,142.2848,0.13442,27.2,1,10
4842,Conjunto 31 de Octubre,0.940142857,0.624571429,183689.2857,0.450571429,0.037575951,0.232857143,-10.86985714,0.131814286,132.7054286,0.642428571,0,0,7
4843,Conjunto Africa,0.557,0.451,197068,0.473,2.68E-05,0.148,-10.775,0.219,209.989,0.948,45,1,2
4844,Conjunto Agua Azul,0.368333333,0.660666667,222600,0.675333333,0.003634217,0.130266667,-5.073666667,0.039733333,94.309,0.683,45,1,6
4845,Conjunto Alma Cibaeña,0.655,0.741,168255,0.468,0.116,0.0309,-15.979,0.136,137.976,0.965,0,1,2
4846,Conjunto Atardecer,0.128817143,0.616857143,206163.7143,0.764857143,0.000202344,0.199857143,-4.208714286,0.074971429,136.7212857,0.761571429,45,1,7
4847,Conjunto Brio Norteño,0.314,0.599,195048,0.799,0.532,0.143,-4.856,0.0496,117.393,0.934,44,0,2
4848,Conjunto Chaney,0.5694,0.6906,276194.2,0.657,3.06E-06,0.17424,-7.998,0.04356,95.8478,0.8588,36.8,0,5
4849,Conjunto Clasico / Tito Nieves,0.403,0.567,240000,0.652,0.00108,0.188,-8.258,0.0872,94.285,0.565,26,1,1
4850,Conjunto Clásico,0.708,0.56,250600,0.448,3.23E-06,0.0638,-13.991,0.0389,171.563,0.929,36,0,1
4851,Conjunto De Rubén Fuentes,0.732,0.458,188253,0.452,0.634,0.189,-8.717,0.03,139.652,0.893,0,1,2
4852,Conjunto Gilberto Rojas,0.925666667,0.706,155794.3333,0.553,0.024517533,0.326666667,-9.841,0.155933333,121.0076667,0.717666667,0,1,3
4853,Conjunto Liberado,0.247,0.689,234587,0.856,1.70E-05,0.0622,-5.849,0.0361,105.935,0.795,37,1,2
4854,Conjunto Nuevo Cibao,0.714,0.649,169691,0.605,0.0097,0.047,-13.822,0.0513,139.892,0.971,0,1,2
4855,Conjunto Oro,0.1485,0.697,222410.5,0.6165,0.02898515,0.0673,-7.8605,0.0612,122.5865,0.8535,22,1,4
4856,Conjunto Primavera,0.237687981,0.621903846,198911.6346,0.692076923,0.015904493,0.146546154,-5.676423077,0.038763462,117.1031731,0.665673077,44.48076923,1,104
4857,Conjunto Rio Grande,0.30525,0.67275,167286.5,0.8215,0.00164435,0.135925,-5.12175,0.0647,116.696,0.9295,47.5,1,8
4858,Conjunto Sensación,0.754,0.655,182800,0.823,9.95E-05,0.125,-3.913,0.0418,91.346,0.971,19,1,2
4859,Conjunto de Sonia López,0.756,0.6475,170773.5,0.4635,1.36E-06,0.20355,-9.1415,0.05135,119.112,0.9635,18.5,1,4
4860,Conkarah,0.016,0.824,210329,0.854,4.95E-05,0.117,-5.312,0.177,95.114,0.896,79,1,1
4861,Conlon Nancarrow,0.903,0.134,230267,0.005,0.205,0.144,-35.951,0.0404,84.023,0.228,48,1,1
4862,Connan Mockasin,0.623,0.447,301693,0.322,0.00177,0.0975,-9.868,0.0448,143.667,0.265,48,0,2
4863,Connie,0.0579,0.846,313667,0.742,0,0.0402,-6.194,0.0671,117.703,0.887,43,1,2
4864,Connie Boswell,0.992,0.376,189440,0.104,8.15E-06,0.159,-16.626,0.0488,90.542,0.202,5,1,2
4865,Connie Francis,0.743931034,0.40262069,168870.3276,0.333703448,0.000218096,0.231441379,-12.13389655,0.033281034,105.6069483,0.434351724,24.18965517,1,116
4866,Connie Harvey,0.000809,0.837,525187,0.767,0.000746,0.282,-8.009,0.124,126.052,0.114,33,1,2
